run_name,method,method_tag,adaptive_rel_mode,density,mobility,noise,energy,seed,windows_run,avg_rmse_all,std_rmse_all,p95_rmse_all,avg_rmse_non,std_rmse_non,p95_rmse_non,avg_objective,avg_K,min_K,max_K,pct_cap_limited,total_energy_spent,final_energy_remaining,spike_rejections,nodes_clamped_total,K_fixed,contact_threshold,smacof_iters
HD-MH-NL-EL-ADAPT-SMACOF-S2,adaptive,EL-ADAPT-SMACOF,SMACOF,HD,H,L,L,2,15,1.9244084894350288,4.559124658869036,13.466342255278015,1.9126550771073203,4.5184921913419736,13.331845395873009,2.5604084894350287,3.533333333333333,3,4,0.0,79.5,0.5,0,0,,,
HD-MH-NL-EL-FIXK12-S1,fixed,FIXK12-S1,,HD,H,L,L,1,4,0.29001176997703143,0.045679509871470715,0.35322481399385525,0.30325634606996776,0.03528417575248795,0.3499963506214282,2.4500117699770314,12.0,12,12,0.0,72.0,8.0,0,0,12,,
HD-MH-NL-EL-FIXK12-S2,fixed,FIXK12-S2,,HD,H,L,L,2,4,12.909859016638798,0.4617773180991716,13.38798296034735,12.467643831885905,0.8012161053247018,13.314850798165635,15.069859016638798,12.0,12,12,0.0,72.0,8.0,0,0,12,,
HD-MH-NL-EL-FIXK3-S1,fixed,FIXK3-S1,,HD,H,L,L,1,17,0.3438495155713201,0.04099494113932965,0.4035349567160395,0.35308713955214316,0.04386802321285284,0.4177783421122853,0.88384951557132,3.0,3,3,0.0,76.5,3.5,0,0,3,,
HD-MH-NL-EL-FIXK3-S2,fixed,FIXK3-S2,,HD,H,L,L,2,17,14.376589222916264,3.811890917180897,17.692408612217392,14.477677428755987,3.8804852233094973,17.737905526783695,14.916589222916265,3.0,3,3,0.0,76.5,3.5,0,0,3,,
HD-MH-NL-EL-FIXK6-S1,fixed,FIXK6-S1,,HD,H,L,L,1,8,0.30780229360314115,0.04687001739887563,0.3811068196330875,0.31578517512601995,0.04545766350833521,0.38504617160514026,1.3878022936031411,6.0,6,6,0.0,72.0,8.0,0,0,6,,
HD-MH-NL-EL-FIXK6-S2,fixed,FIXK6-S2,,HD,H,L,L,2,8,12.991256385702377,0.6525462995587129,14.08011116241902,12.810107812276478,0.8136514355236777,14.207685759295494,14.071256385702377,6.0,6,6,0.0,72.0,8.0,0,0,6,,
HD-MH-NL-EL-FIXK9-S1,fixed,FIXK9-S1,,HD,H,L,L,1,5,0.291404783069285,0.04236143912716965,0.35608906453080164,0.29465879168146225,0.031724725448548215,0.34158025323918695,1.9114047830692846,9.0,9,9,0.0,67.5,12.5,0,0,9,,
HD-MH-NL-EL-FIXK9-S2,fixed,FIXK9-S2,,HD,H,L,L,2,5,12.836858171721605,0.33401708945420666,13.245618812159355,12.538784704612482,0.6061641390402637,13.079069717821767,14.456858171721603,9.0,9,9,0.0,67.5,12.5,0,0,9,,
HD-MH-NL-EL-GMDS-S1,GMDS,GMDS,,HD,H,L,L,1,7,0.7694477108502575,0.23343161421672728,1.1529720655129039,0.7918164932772517,0.2513950799304358,1.2040940135009692,2.0294477108502575,7.0,7,7,0.0,73.5,6.5,0,0,7,,
